Mon Jan  9 16:10:59 2017, Clear
Tue Jan 10 04:33:24 2017, Partly Cloudy
Tue Jan 10 05:33:39 2017, Partly Cloudy
Wed Jan 11 14:17:08 2017, Partly Cloudy
Wed Jan 11 15:33:50 2017, Partly Cloudy
Thu Jan 12 10:26:37 2017, Partly Cloudy
Thu Jan 12 11:26:51 2017, Partly Cloudy
Thu Jan 12 15:03:28 2017, Partly Cloudy
Thu Jan 12 16:48:28 2017, Partly Cloudy
Fri Jan 13 00:15:45 2017, Partly Cloudy
Fri Jan 13 01:15:58 2017, Scattered Clouds
Fri Jan 13 10:03:38 2017, Partly Cloudy
Fri Jan 13 10:22:52 2017, Partly Cloudy
Fri Jan 13 12:41:27 2017, Partly Cloudy
Sun Jan 15 17:45:21 2017, Clear
Sun Jan 15 17:47:20 2017, Mist
Sun Jan 15 20:21:14 2017, Fog
Sun Jan 15 21:21:18 2017, Fog
Mon Jan 16 18:00:14 2017, Partly Cloudy
Mon Jan 16 19:01:30 2017, Partly Cloudy
Thu Jan 19 12:37:32 2017, Clear
Thu Jan 19 17:24:52 2017, Clear
Fri Jan 20 11:10:45 2017, Partly Cloudy
Mon Jan 23 10:00:31 2017, Partly Cloudy
Mon Jan 30 09:20:23 2017, Partly Cloudy
Mon Jan 30 09:24:17 2017, Partly Cloudy
Mon Jan 30 10:24:21 2017, Partly Cloudy
Mon Jan 30 11:24:26 2017, Partly Cloudy
Mon Jan 30 12:24:30 2017, Partly Cloudy
Tue Jan 31 21:22:43 2017, Clear
Tue Jan 31 22:23:01 2017, Scattered Clouds
Tue Jan 31 23:23:05 2017, Thunderstorm
Wed Feb  1 00:23:10 2017, Thunderstorm
Wed Feb  1 01:23:15 2017, Thunderstorm
Wed Feb  1 02:23:19 2017, Thunderstorm
Wed Feb  1 03:23:24 2017, Mostly Cloudy
Wed Feb  1 04:23:29 2017, Mostly Cloudy
Wed Feb  1 05:23:34 2017, Mostly Cloudy
Wed Feb  1 06:23:39 2017, Mostly Cloudy
Wed Feb  1 07:23:43 2017, Mostly Cloudy
Wed Feb  1 08:23:48 2017, Mostly Cloudy
Wed Feb  1 09:23:53 2017, Mostly Cloudy
Wed Feb  1 10:23:58 2017, Mostly Cloudy
Sun Feb  5 06:01:07 2017, Partly Cloudy
Sun Feb  5 07:01:21 2017, Thunderstorm
